TÁBLA;Na;Mg;Zn;Cu;Mn
B10;19,7;134;1,94;1,43;22
B10;21,5;169;2,56;0,9;19
B10;18,7;130;2,49;0,99;26
B10;12,2;125;1,62;1,34;36
B10;9;123;2,63;0,88;28
B10;9;132;2,5;1,18;38
B10;11,8;110;2,6;1,06;32
B10;10,1;115;2,03;1,13;34
B10;9;101;1,85;1,61;46
B10;10;97;1,36;1,01;32
B10;14,1;113;1,83;1,11;37
B10;10,5;103;2,15;1,34;38
B10;9;100;1,41;1,38;46
B10;17,2;136;1,67;1,52;49
B10;9;115;1,84;1,3;36
B10;9;122;1,64;1,39;46
B10;24,3;124;1,71;1,29;33
B10;17,5;127;2,05;1,21;27
B10;19,3;130;2,1;0,87;19
B10;11,8;107;1,39;1,14;41
B10;9;132;1,42;1,51;58
B10;9;114;1,77;1,04;34
B10;13,2;115;1,7;2;46
B10;16,5;126;1,94;1,81;34
B10;32,4;124;2,41;2,45;41
B10;24,4;169;2,78;1,56;33
B10;29,3;159;2,78;1,54;39
B10;36,9;202;2,53;1,36;26
B10;33,7;179;2,63;1,99;29
B10;20,4;166;1,16;1,26;18
B10;18,2;168;1,37;1,43;14
B10;59,4;213;2,25;1,81;15
B10;61,8;239;2,89;2,71;30
B10;26,2;173;1,77;1,56;16
B10;19,1;191;1,25;1,17;31
B10;34,6;227;2,02;1,36;17
B10;31,4;200;1,66;1,24;18
B10;30,5;170;1,83;1,11;16
B10;16;182;1,89;1,18;32
B11;76,7;691;1,59;2,07;55
B11;46,2;571;2,38;1,81;30
B13;100,2;585;2,84;3,6;34
B13;110,1;484;2,38;2,26;25
B13;78;385;2,05;2,14;31
B13;96,2;271;2,32;1,88;22
B13;67,6;339;1,71;2,27;20
B13;68,8;455;2,03;2,31;24
B13;91,6;463;2,69;2,63;28
B13;75,3;423;2,14;2,5;26
B13;45,5;167;1,44;1,48;19
B13;32,6;123;1,13;1,91;41
B13;35,1;186;1,47;1,89;43
B13;50;344;1,19;1,8;28
B13;51;204;1,45;2,25;41
B13;37,9;172;1,29;1,83;25
B14;58,8;593;1,99;1,48;17
B14;74,3;529;1,55;1,15;17
B14;45,5;476;1,68;1,5;17
B14;85,1;628;1,99;1,56;19
B14;84,6;574;1,66;1,11;21
B14;60,8;674;3,72;2,24;21
B14;45,7;602;2,45;1,91;22
B14;85,1;543;3,92;5,72;28
B14;87,2;711;2,3;3,69;25
B14;63,9;268;3,17;3,88;29
B14;54,9;277;2,3;2,45;33
B14;47,6;208;1,94;2,37;26
B14;66;218;2,47;3,49;35
B14;53,7;260;1,82;2,63;22
B15;10,3;109;4,13;1,52;34
B15;9;119;2,94;1,51;40
B15;15,3;174;2,28;1,69;39
B15;11,5;148;2,33;1,75;30
B15;72,4;195;3,62;1,32;22
B15;17;99;3,09;1,2;24
B15;10,9;124;2,77;1,44;21
B15;10;144;1,76;1,42;32
B15;9;175;2,16;1,66;38
B15;9;155;2,47;5,48;36
B15;9;166;2,62;2,02;40
B15;81,3;510;0,75;1,91;30
B15;81,5;508;0,87;1,77;24
B15;78,5;517;0,62;1,48;23
B15;63,5;489;0,82;1,5;21
B15;113,6;544;1,01;1,79;24
B15;96,6;630;1,03;1,95;22
B15;24,4;191;1,18;1,68;21
B15;26,9;206;1,86;1,81;25
B15;22;158;3,42;2,11;35
B15;21,2;171;2,26;1,97;24
B15;26,1;198;1,98;1,83;19
B15;30,8;403;1,57;1,31;23
B15;25,3;189;1,93;1,54;25
B15;20,9;191;2,85;2,07;38
B15;14,9;162;2,82;1,76;35
B15;13;167;2,27;1,51;26
B15;17,1;142;1,6;1,7;25
B15;26;276;1,47;1,49;28
B16;64,9;538;1,97;1,63;30
B16;84,5;655;1,52;1,1;19
B16;80,7;576;1,78;1,15;19
B16;85,1;451;1,71;1,12;17
B16;67,6;356;1,84;1,31;14
B16;56,5;611;1,54;1,86;25
B16;46,7;636;1,7;2,16;20
B16;62,3;604;1,11;2,3;19
B16;54,6;528;1,54;2,65;18
B16;32,8;374;1,31;1,68;20
B16;23,1;264;1,52;1,35;17
B16;42,2;477;1,86;1,7;24
B16;26,4;275;2,2;1,2;20
B16;29,3;429;2,41;1,1;19
B16;25,9;285;1,89;1,36;20
B16;22,2;287;1,84;1,76;27
B16;25,8;243;1,7;1,64;29
B16;33;449;2,09;1,84;36
B16;33,8;368;1,94;1,52;25
B16;23,5;257;2,01;1,48;25
B16;50;523;2,01;1,44;28
B16;74,1;505;2,73;1,56;31
B16;70,2;656;2,13;1,78;38
B16;70,6;664;2,18;2,18;38
B16;70,1;617;2,18;2,14;36
B18;31,4;152;3,47;2,8;28
B18;30,8;155;2,85;2,19;30
B18;21,8;175;2,26;2,17;31
B18;20,8;186;2,89;2,33;37
B18;27;234;2,4;1,57;28
B19;118,9;605;5,04;1,57;28
B19;120,6;586;5,68;1,85;33
B19;137,8;566;4,05;1,9;28
B19;131,1;597;5,31;1,72;32
B19;29,6;291;24,96;6,35;24
B19;52,1;617;30,11;37,79;40
B19;78,8;507;35,66;9,2;28
B19;82,9;396;25,36;7,51;23
B19;144,8;632;6,47;3,19;22
B19;118,6;638;5,15;2,89;26
B19;102;607;5,26;2,99;25
B19;116,3;608;4,97;3,03;20
B8;24,7;131;1,23;1,58;35
B8;12,2;111;0,84;1,17;17
B8;15,2;124;17,19;1,37;20
B9;31,5;314;4,27;1,57;34
B9;38,2;318;3,99;1,22;25
B9;35,2;274;2,92;0,8;18
B9;27,3;236;3,38;1,24;35
B9;31,5;264;3,45;0,93;27
B9;31,9;298;3,53;1,53;21
B9;35,5;275;4,6;1,5;25
B9;31,8;219;2,87;1,84;33
B9;32,8;191;2,12;1,51;20
B9;61;315;3,58;2,23;18
B9;35,2;201;3,49;2,6;24
B9;40,9;185;3,92;2,58;36
B9;49,8;180;4,03;2,66;33
C10;10,3;297;1,39;4;379
